City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Koslan,RU,63.4564,48.8989,28.45,95,90,3.27,overcast clouds
262,Bengkulu,ID,-3.8004,102.2655,75.49,88,100,1.86,light rain
263,Tatawin,TN,32.9297,10.4518,67.75,33,27,10.16,scattered clouds
264,Barcelos,PT,41.5388,-8.6151,66.92,85,16,1.28,few clouds
265,Opuwo,NA,-18.0607,13.84,78.89,23,5,19.17,clear sky
266,Mananjary,MG,-21.2167,48.3333,74.28,81,56,9.08,broken clouds
267,Warmbad,NA,-28.45,18.7333,83.46,15,72,14.72,broken clouds
268,Belsand,IN,26.45,85.4,72.07,59,0,4.09,clear sky
269,Krokeai,GR,36.8833,22.55,62.96,78,15,1.25,few clouds
270,Ancud,CL,-41.8697,-73.8203,55.53,81,100,7.43,light rain
271,Matagami,CA,49.7502,-77.6328,37.51,100,100,6.91,overcast clouds
272,Grand Gaube,MU,-20.0064,57.6608,76.37,68,6,7.0,clear sky
273,Illapel,CL,-31.6308,-71.1653,73.6,38,98,10.22,overcast clouds
274,Buta,CD,2.7858,24.73,72.34,95,88,4.03,moderate rain
275,Suez,EG,29.9737,32.5263,69.31,48,0,7.83,clear sky
276,Beyneu,KZ,45.3167,55.2,42.4,60,83,6.78,broken clouds
277,Waw,SS,7.7029,27.9953,82.56,30,73,2.57,broken clouds
278,Cockburn Town,TC,21.4612,-71.1419,82.2,76,53,16.2,broken clouds
279,Klaksvik,FO,62.2266,-6.589,49.12,85,100,32.35,overcast clouds
280,Geraldton,AU,-28.7667,114.6,61.21,94,75,13.8,broken clouds
281,Touros,BR,-5.1989,-35.4608,84.94,56,70,15.95,broken clouds
282,Soverato,IT,38.685,16.5499,65.16,79,97,0.85,overcast clouds
283,Nikel,RU,69.4128,30.222,28.58,94,93,3.85,overcast clouds
284,Rio Brilhante,BR,-21.8019,-54.5464,99.23,18,71,7.9,broken clouds
285,Mogadishu,SO,2.0371,45.3438,79.52,82,78,14.0,broken clouds
286,Taltal,CL,-25.4,-70.4833,64.89,67,35,6.76,scattered clouds
287,Buraydah,SA,26.326,43.975,79.25,32,72,10.8,broken clouds
288,Rosignol,GY,6.2833,-57.5333,81.41,84,100,7.61,heavy intensity rain
289,Abu Zabad,SD,12.35,29.25,79.25,19,48,10.45,scattered clouds
290,Abu Dhabi,AE,24.4667,54.3667,84.31,75,0,4.61,clear sky
291,Hella,NO,67.2,14.4333,38.55,68,40,27.63,scattered clouds
292,Farafangana,MG,-22.8167,47.8333,75.11,82,40,9.86,scattered clouds
293,Salalah,OM,17.0151,54.0924,82.49,65,0,3.44,clear sky
294,Carnarvon,AU,-24.8667,113.6333,67.33,72,6,17.94,clear sky
295,Ozinki,RU,51.1786,49.6769,41.9,80,99,11.41,overcast clouds
296,Gurupi,BR,-11.7292,-49.0686,90.21,43,40,5.64,scattered clouds
297,Palafrugell,ES,41.9174,3.1631,65.16,58,100,3.0,overcast clouds
298,Secunda,ZA,-26.55,29.1667,63.32,91,40,4.0,scattered clouds
299,Mattru,SL,7.6244,-11.8332,83.66,66,54,4.92,broken clouds
300,Castro,BR,-24.7911,-50.0119,77.76,37,66,5.14,broken clouds
301,Mantua,IT,45.1667,10.7833,57.81,90,56,1.01,broken clouds
302,Sechura,PE,-5.5569,-80.8222,76.86,54,61,10.76,broken clouds
303,Walkerton,US,41.4667,-86.4831,71.31,37,0,9.22,clear sky
304,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,11.5,few clouds
305,San Cristobal,VE,7.7669,-72.225,78.98,45,68,2.57,broken clouds
306,Salinas,US,36.6777,-121.6555,52.07,84,0,3.44,clear sky
307,Sinop,TR,41.7711,34.8709,44.46,85,2,2.17,clear sky
308,Sehore,IN,23.2,77.0833,71.87,47,16,3.51,few clouds
309,Warri,NG,5.5167,5.75,80.47,79,100,8.55,light rain
310,Paragominas,BR,-2.9667,-47.4833,92.01,40,38,3.76,scattered clouds
311,Sumbe,AO,-11.2061,13.8437,76.51,73,38,8.12,scattered clouds
312,Wallaceburg,CA,42.593,-82.3885,64.62,38,76,15.37,broken clouds
313,Columbus,US,39.9612,-82.9988,68.54,46,20,11.5,few clouds
314,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,11.5,light rain
315,Leningradskiy,RU,69.3833,178.4167,-0.94,88,100,3.27,overcast clouds
316,Chapais,CA,49.7834,-74.8492,37.18,99,100,4.81,overcast clouds
317,Durazno,UY,-33.4131,-56.5006,78.75,44,40,6.91,scattered clouds
318,Olinda,BR,-8.0089,-34.8553,83.93,65,40,9.22,scattered clouds
319,Sawakin,SD,19.1059,37.3321,84.07,73,34,8.32,scattered clouds
320,Porto Murtinho,BR,-21.6989,-57.8825,106.14,14,80,11.99,broken clouds
321,Torbay,CA,47.6666,-52.7314,43.27,75,75,19.57,broken clouds
322,Padang,ID,-0.9492,100.3543,75.25,92,100,4.07,overcast clouds
323,Omboue,GA,-1.5746,9.2618,74.34,92,100,5.61,overcast clouds
324,Inongo,CD,-1.95,18.2667,71.46,96,100,2.15,overcast clouds
325,Yenagoa,NG,4.9247,6.2642,79.21,82,51,9.51,moderate rain
326,Nuuk,GL,64.1835,-51.7216,20.01,73,40,8.05,scattered clouds
327,Hemel Hempstead,GB,51.7537,-0.4752,57.52,86,100,14.97,overcast clouds
328,Vangaindrano,MG,-23.35,47.6,72.68,90,37,5.86,light rain
329,Killybegs,IE,54.6333,-8.45,58.71,82,100,30.69,light rain
330,Calbuco,CL,-41.768,-73.1273,60.01,70,87,13.67,overcast clouds
331,Mikhaylov,RU,54.2292,39.0186,42.6,85,88,13.71,overcast clouds
332,Viedma,AR,-40.8135,-62.9967,74.16,38,64,16.44,broken clouds
333,La Asuncion,VE,11.0333,-63.8628,71.33,100,81,10.36,light rain
334,Hadejia,NG,12.4498,10.0444,85.91,17,23,6.4,few clouds
335,Jalu,LY,29.0331,21.5482,67.68,38,0,8.79,clear sky
336,Esil,KZ,51.9556,66.4042,30.87,90,96,11.63,overcast clouds
337,Saint-Francois,FR,46.4154,3.9054,49.44,87,0,3.44,clear sky
338,Takoradi,GH,4.8845,-1.7554,80.74,79,49,11.32,light rain
339,Umtata,ZA,-31.5889,28.7844,57.76,94,75,14.97,broken clouds
340,Port Victoria,KE,0.0939,33.9756,72.41,72,100,5.14,overcast clouds
341,Bubaque,GW,11.2833,-15.8333,83.1,65,31,9.17,scattered clouds
342,Abalak,RU,58.1286,68.5944,31.1,98,100,4.59,overcast clouds
343,Mezen,RU,65.8522,44.24,31.71,99,100,0.34,overcast clouds
344,Khash,IR,28.2211,61.2158,61.57,35,6,5.03,clear sky
345,Zapolyarnyy,RU,69.4154,30.8136,27.68,95,95,3.44,overcast clouds
